[2021-02-04 15:25:29] | DEBUG | <x:100; y:100; z:100> | Line:75
[2021-02-04 15:25:30] | DEBUG | Sending stop | Line:105
[2021-02-04 15:25:30] | DEBUG | task canceled | Line:62
[2021-02-04 15:26:43] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:26:43] | DEBUG | Punto scansionato in => (x:100;
 y:100; 
z:100) | Line:75
[2021-02-04 15:26:44] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:26:44] | DEBUG | Punto scansionato in => (x:100;
 y:100; 
z:100) | Line:75
[2021-02-04 15:26:45] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:26:45] | DEBUG | Punto scansionato in => (x:100;
 y:100; 
z:100) | Line:75
[2021-02-04 15:26:46] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:26:46] | DEBUG | Punto scansionato in => (x:100;
 y:100; 
z:100) | Line:75
[2021-02-04 15:26:59] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:26:59] | DEBUG | Punto scansionato in => (x:100; y:100; z:100) | Line:75
[2021-02-04 15:27:00] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:27:00] | DEBUG | Punto scansionato in => (x:100; y:100; z:100) | Line:75
[2021-02-04 15:27:01] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:27:01] | DEBUG | Punto scansionato in => (x:100; y:100; z:100) | Line:75
[2021-02-04 15:27:02] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:27:02] | DEBUG | Punto scansionato in => (x:100; y:100; z:100) | Line:75
[2021-02-04 15:27:03] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:27:03] | DEBUG | Punto scansionato in => (x:100; y:100; z:100) | Line:75
[2021-02-04 15:27:04] | DEBUG | Sending stop | Line:105
[2021-02-04 15:27:04] | DEBUG | task canceled | Line:62
[2021-02-04 15:27:18] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:27:18] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:75
[2021-02-04 15:27:19] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:27:19] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:75
[2021-02-04 15:27:20] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:27:20] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:75
[2021-02-04 15:27:21] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:27:21] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:75
[2021-02-04 15:27:22] | DEBUG | 100;100;100 | Line:70
[2021-02-04 15:27:22] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:75
[2021-02-04 15:27:23] | DEBUG | Sending stop | Line:105
[2021-02-04 15:27:23] | DEBUG | task canceled | Line:62
[2021-02-04 15:34:54] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:34:54] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:34:55] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:34:55] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:34:56] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:34:56] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:34:57] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:34:57] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:35:12] | DEBUG | 100;100;100 | Line:72
[2021-02-04 15:35:12] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:77
[2021-02-04 15:35:13] | DEBUG | 100;100;100 | Line:72
[2021-02-04 15:35:13] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:77
[2021-02-04 15:35:14] | DEBUG | 100;100;100 | Line:72
[2021-02-04 15:35:14] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:77
[2021-02-04 15:35:15] | DEBUG | 100;100;100 | Line:72
[2021-02-04 15:35:15] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:77
[2021-02-04 15:35:16] | DEBUG | 100;100;100 | Line:72
[2021-02-04 15:35:16] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:77
[2021-02-04 15:35:16] | DEBUG | Sending stop | Line:107
[2021-02-04 15:35:16] | DEBUG | task canceled | Line:64
[2021-02-04 15:36:42] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:36:42] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:36:43] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:36:43] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:36:44] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:36:44] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:36:45] | DEBUG | 100; | Line:71
[2021-02-04 15:37:15] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:15] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:16] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:16] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:17] | DEBUG | 100;100;100 | Line:71
